leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.194845900001383,9.194845900001383,m,3.7058144999973592,,,,,,,,,,,,,,,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,270,y,m,270,0,0,0,13,,,,,12.941693400000077,12.941693400000077,12.941693400000077,12.941693400000077,20.244816500002344,21.791662300001917,21.791662300001917,21.791662300001917,21.791662300001917,21.791662300001917,n,0,1.2042123999999603,23.006467400002293,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,315,y,m,315,0,1,1,15,,,,,,,,,,23.521670500002074,23.521670500002074,23.521670500002074,23.521670500002074,23.521670500002074,n,0,0.8380006000006688,24.37094470000011,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,45,n,n,45,0,2,2,2,,,,,,,,,,24.88601969999945,24.88601969999945,24.88601969999945,24.88601969999945,24.88601969999945,n,1,49.45848240000123,74.36038520000147,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,90,n,n,90,0,3,3,4,,,,,,,,,,74.8679333,74.8679333,74.8679333,74.8679333,74.8679333,n,1,9.76069980000102,84.63639039999907,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,n,n,0,0,4,4,0,,,,,,,,,,85.15122250000059,85.15122250000059,85.15122250000059,85.15122250000059,85.15122250000059,n,1,5.152803300003143,90.33078419999947,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,225,n,n,225,0,5,5,10,,,,,,,,,,90.84904960000131,90.84904960000131,90.84904960000131,90.84904960000131,90.84904960000131,n,1,12.27772080000068,103.138621099999,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,y,m,0,0,6,6,1,,,,,,,,,,103.65568270000222,103.65568270000222,103.65568270000222,103.65568270000222,103.65568270000222,n,0,0.07854760000191163,103.74640600000203,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,180,y,m,180,0,7,7,9,,,,,,,,,,104.26605030000064,104.26605030000064,104.26605030000064,104.26605030000064,104.26605030000064,n,0,1.0953440000012051,105.37458949999927,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,180,n,n,180,0,8,8,8,,,,,,,,,,105.87805750000189,105.87805750000189,105.87805750000189,105.87805750000189,105.87805750000189,n,1,0.3966705000020738,106.29097729999921,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,135,n,n,135,0,9,9,6,,,,,,,,,,106.80564579999918,106.80564579999918,106.80564579999918,106.80564579999918,106.80564579999918,n,1,0.665523799998482,107.47970250000071,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,135,y,m,135,0,10,10,7,,,,,,,,,,107.98695560000124,107.98695560000124,107.98695560000124,107.98695560000124,107.98695560000124,n,0,18.80778680000003,126.81332810000094,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,315,n,n,315,0,11,11,14,,,,,,,,,,127.31952810000075,127.31952810000075,127.31952810000075,127.31952810000075,127.31952810000075,n,1,1.9422140999995463,129.29684890000135,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,270,n,n,270,0,12,12,12,,,,,,,,,,129.79831059999924,129.79831059999924,129.79831059999924,129.79831059999924,129.79831059999924,n,1,1.3035048000019742,131.11408250000022,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,45,y,m,45,0,13,13,3,,,,,,,,,,131.6181085999997,131.6181085999997,131.6181085999997,131.6181085999997,131.6181085999997,n,0,0.1344792999989295,131.76990880000085,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,90,y,m,90,0,14,14,5,,,,,,,,,,132.27829080000083,132.27829080000083,132.27829080000083,132.27829080000083,132.27829080000083,n,0,65.78287819999969,198.07640549999996,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,225,y,m,225,0,15,15,11,,,,,,,,,,198.57958820000204,198.57958820000204,198.57958820000204,198.57958820000204,198.57958820000204,n,0,2.0322747999998683,200.6223644999991,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,270,n,n,270,1,0,16,12,,,,,,,,,,201.1406706000016,201.1406706000016,201.1406706000016,201.1406706000016,201.1406706000016,n,1,14.630560899997363,215.79233870000098,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,45,n,n,45,1,1,17,2,,,,,,,,,,216.30774600000223,216.30774600000223,216.30774600000223,216.30774600000223,216.30774600000223,m,0,0.11562309999862919,216.43778939999902,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,90,y,m,90,1,2,18,5,,,,,,,,,,216.94402460000128,216.94402460000128,216.94402460000128,216.94402460000128,216.94402460000128,n,0,540.3269260000015,757.2781687999995,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,225,y,m,225,1,3,19,11,,,,,,,,,,757.7874849,757.7874849,757.7874849,757.7874849,757.7874849,n,0,29.139694800000143,786.9435993000006,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,45,y,m,45,1,4,20,3,,,,,,,,,,787.4526858999998,787.4526858999998,787.4526858999998,787.4526858999998,787.4526858999998,n,0,11.128947799999878,798.5930149000014,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,315,y,m,315,1,5,21,15,,,,,,,,,,799.1021557000022,799.1021557000022,799.1021557000022,799.1021557000022,799.1021557000022,n,0,0.7680768999998691,799.8823842999991,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,90,n,n,90,1,6,22,4,,,,,,,,,,800.3930562000023,800.3930562000023,800.3930562000023,800.3930562000023,800.3930562000023,n,1,10.755557400003454,811.1562918000018,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,180,y,m,180,1,7,23,9,,,,,,,,,,811.6651024999992,811.6651024999992,811.6651024999992,811.6651024999992,811.6651024999992,n,0,0.9460641000005126,812.6238197000021,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,270,y,m,270,1,8,24,13,,,,,,,,,,813.1257087000013,813.1257087000013,813.1257087000013,813.1257087000013,813.1257087000013,n,0,0.4489968999987468,813.5856793999992,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,135,y,m,135,1,9,25,7,,,,,,,,,,814.1013970000022,814.1013970000022,814.1013970000022,814.1013970000022,814.1013970000022,n,0,0.44284020000122837,814.5573208000023,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,n,n,0,1,10,26,0,,,,,,,,,,815.0643554000017,815.0643554000017,815.0643554000017,815.0643554000017,815.0643554000017,n,1,0.012368100000458071,815.0959007999991,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,0,y,m,0,1,11,27,1,,,,,,,,,,815.6099524000019,815.6099524000019,815.6099524000019,815.6099524000019,815.6099524000019,n,0,1.0306330000021262,816.6464693000016,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,225,n,n,225,1,12,28,10,,,,,,,,,,817.1616868000019,817.1616868000019,817.1616868000019,817.1616868000019,817.1616868000019,n,1,1.0372423000007984,818.2121722000011,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,180,n,n,180,1,13,29,8,,,,,,,,,,818.7208802000023,818.7208802000023,818.7208802000023,818.7208802000023,818.7208802000023,n,1,3.066522100001748,821.8062282999999,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,135,n,n,135,1,14,30,6,,,,,,,,,,822.3124454999997,822.3124454999997,822.3124454999997,822.3124454999997,822.3124454999997,n,1,1.1802401000022655,823.5066432000021,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
0,315,n,n,315,1,15,31,14,,,,,,,,,,824.0170686999991,824.0170686999991,824.0170686999991,824.0170686999991,824.0170686999991,n,1,63.72625030000199,887.7548959000014,,,001,,2024-01-09_11h35.28.464,MentalRot,2022.2.4,163.51037146736073,
,,,,,,,,,,,,,,,,,,,,,,,,,,,888.2570470999999,888.2570470999999,,,,,,,
