instructions.started,instructions.stopped,start_resp.keys,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0.0002,21.2584,,0.021296325,-0.387037065,1,0,0,20.2457,start,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,21.2839,25.5628,left,1,3.2383,,1,3.2383,,,,,,,,0,0,0,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,25.5634,28.3055,left,1,1.7174,,1,3.2383,,,,,,,,0,1,1,8,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,28.307,30.8551,right,1,1.515,,1,3.2383,,,,,,,,0,2,2,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,30.8638,33.4386,left,1,1.5556,,1,3.2383,,,,,,,,0,3,3,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,33.4393,35.8885,right,1,1.4208,,1,1.4208,,,,,,,,0,4,4,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,35.889,37.9554,right,1,1.0302,,1,1.4208,,,,,,,,0,5,5,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,37.9559,40.2052,left,1,1.2164,,1,1.4208,,,,,,,,0,6,6,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,40.2058,42.8217,right,1,1.5833,,1,1.5833,,,,,,,,0,7,7,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,42.8296,45.8888,right,1,2.0346,,1,2.0346,,,,,,,,0,8,8,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,45.8897,47.8381,right,1,0.9249,,1,0.9249,,,,,,,,0,9,9,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,47.8384,49.9382,left,1,1.0668,,1,0.9249,,,,,,,,0,10,10,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,49.9386,52.0546,left,1,1.091,,1,1.091,,,,,,,,0,11,11,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,52.055,54.438,right,1,1.3578,,1,1.091,,,,,,,,0,12,12,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,54.4384,56.7049,left,1,1.2424,,1,1.2424,,,,,,,,0,13,13,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,56.7141,58.6547,left,1,0.9156,,1,0.9156,,,,,,,,0,14,14,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,040223,,2024-01-07_19h53.59.746,word_superiority_effect,2023.2.2,Win32,59.52380952,58.6551,60.6211,right,1,0.9323,,1,0.9156,,,,,,,,0,15,15,14,1,SNAP,I,3,Did the word contain the letter I?,right,word